Course_Name,School_Level,Course_Level,Modality,Instructor,Time,RecordedDate,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q23_1,Q23_2,Q23_3,Q17_Gender,Q18_Politics,Q19_PatronSBUX,Q20_PatronCompetition
ACCT 7109_F18,G,Advanced,H,JF,217,12/2/2018 13:28,3,5,3,4,5,5,1,3,3,5,5,4,3,1,1,3,3,3,3,3,3,2,2,3,3,3,3,3,2,2,4,3,3,2,3,3,3,3,3,3,3,3,2,2,1,5,3,2,3,2,2,3,,,,
ACCT 7109_F18,G,Advanced,H,JF,458,12/2/2018 13:33,2,2,1,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,2,3,2,2,2,2,2,2,,,,
ACCT 7109_F18,G,Advanced,H,JF,167,12/2/2018 14:00,2,3,2,2,2,1,2,2,1,1,2,1,2,1,1,2,2,3,2,2,2,2,1,4,1,2,1,4,4,4,4,6,7,4,1,2,2,2,2,2,2,1,2,3,1,1,2,2,2,2,1,2,,,,
ACCT 7109_F18,G,Advanced,H,JF,553,12/2/2018 14:01,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
ACCT 7109_F18,G,Advanced,H,JF,340,12/2/2018 14:01,1,1,2,2,2,1,2,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1,1,1,2,3,3,2,2,2,1,2,2,2,2,2,2,2,6,4,3,3,2,2,2,1,1,1,,,,
ACCT 7109_F18,G,Advanced,H,JF,316,12/2/2018 14:02,2,1,2,1,3,1,2,1,1,2,2,2,2,2,2,2,1,3,1,2,2,2,1,1,2,1,3,1,3,4,4,4,7,6,2,2,1,2,1,1,1,1,1,3,2,2,2,1,2,1,2,1,,,,
ACCT 7109_F18,G,Advanced,H,JF,560,12/2/2018 14:06,2,1,1,1,5,5,5,2,2,5,5,5,2,2,5,4,2,2,2,3,3,3,2,3,3,2,3,2,2,2,2,3,4,3,3,2,2,2,2,2,3,4,5,5,5,4,2,4,4,2,2,2,,,,
ACCT 7109_F18,G,Advanced,H,JF,183,12/2/2018 14:21,3,3,3,3,3,3,3,3,3,5,4,6,3,4,4,3,2,4,4,2,2,3,3,2,2,3,3,3,2,2,2,3,3,3,2,2,2,3,3,3,2,3,3,3,3,3,2,3,2,3,4,3,,,,
ACCT 7109_F18,G,Advanced,H,JF,309,12/2/2018 14:21,1,1,1,1,1,1,1,2,1,1,1,2,1,3,3,2,3,2,2,2,2,3,2,1,2,2,2,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,,,,
ACCT 7109_F18,G,Advanced,H,JF,239,12/2/2018 14:22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
